area,population
"Autauga County, Alabama","58,805"
"Baldwin County, Alabama","231,767"
"Barbour County, Alabama","25,223"
"Bibb County, Alabama","22,293"
"Blount County, Alabama","59,134"
"Bullock County, Alabama","10,357"
"Butler County, Alabama","19,051"
"Calhoun County, Alabama","116,441"
"Chambers County, Alabama","34,772"
"Cherokee County, Alabama","24,971"
"Chilton County, Alabama","45,014"
"Choctaw County, Alabama","12,665"
"Clarke County, Alabama","23,087"
"Clay County, Alabama","14,236"
"Cleburne County, Alabama","15,056"
"Coffee County, Alabama","53,465"
"Colbert County, Alabama","57,227"
"Conecuh County, Alabama","11,597"
"Coosa County, Alabama","10,387"
"Covington County, Alabama","37,570"
"Crenshaw County, Alabama","13,194"
"Cullman County, Alabama","87,866"
"Dale County, Alabama","49,326"
"Dallas County, Alabama","38,462"
"DeKalb County, Alabama","71,608"
"Elmore County, Alabama","87,977"
"Escambia County, Alabama","36,757"
"Etowah County, Alabama","103,436"
"Fayette County, Alabama","16,321"
"Franklin County, Alabama","32,113"
"Geneva County, Alabama","26,659"
"Greene County, Alabama","7,730"
"Hale County, Alabama","14,785"
"Henry County, Alabama","17,146"
"Houston County, Alabama","107,202"
"Jackson County, Alabama","52,579"
"Jefferson County, Alabama","674,721"
"Lamar County, Alabama","13,972"
"Lauderdale County, Alabama","93,564"
"Lawrence County, Alabama","33,073"
"Lee County, Alabama","174,241"
"Limestone County, Alabama","103,570"
"Lowndes County, Alabama","10,311"
"Macon County, Alabama","19,532"
"Madison County, Alabama","388,153"
"Marengo County, Alabama","19,323"
"Marion County, Alabama","29,341"
"Marshall County, Alabama","97,612"
"Mobile County, Alabama","414,809"
"Monroe County, Alabama","19,772"
"Montgomery County, Alabama","228,954"
"Morgan County, Alabama","123,421"
"Perry County, Alabama","8,511"
"Pickens County, Alabama","19,123"
"Pike County, Alabama","33,009"
"Randolph County, Alabama","21,967"
"Russell County, Alabama","59,183"
"St Clair County, Alabama","91,103"
"Shelby County, Alabama","223,024"
"Sumter County, Alabama","12,345"
"Talladega County, Alabama","82,149"
"Tallapoosa County, Alabama","41,311"
"Tuscaloosa County, Alabama","227,036"
"Walker County, Alabama","65,342"
"Washington County, Alabama","15,388"
"Wilcox County, Alabama","10,600"
"Winston County, Alabama","23,540"
"Aleutians East Borough, Alaska","3,420"
"Aleutians West Census Area, Alaska","5,232"
"Anchorage Municipality, Alaska","291,247"
"Bethel Census Area, Alaska","18,666"
"Bristol Bay Borough, Alaska",844
"Chugach Census Area, Alaska","7,102"
"Copper River Census Area, Alaska","2,617"
"Denali Borough, Alaska","1,619"
"Dillingham Census Area, Alaska","4,857"
"Fairbanks North Star Borough, Alaska","95,655"
"Haines Borough, Alaska","2,080"
"Hoonah-Angoon Census Area, Alaska","2,365"
"Juneau City and Borough, Alaska","32,255"
"Kenai Peninsula Borough, Alaska","58,799"
"Ketchikan Gateway Borough, Alaska","13,948"
"Kodiak Island Borough, Alaska","13,101"
"Kusilvak Census Area, Alaska","8,368"
