,State Name,county Name,Month,Day,AQI,Category,Defining Site,Latitude,Longitude
0,California,Alameda,1,1,53,Moderate,06-001-0009,37.743065,-122.169935
1,California,Alameda,1,2,43,Good,06-001-0013,37.864767,-122.302741
2,California,Alameda,1,3,74,Moderate,06-001-0013,37.864767,-122.302741
3,California,Alameda,1,4,45,Good,06-001-0007,37.687526,-121.784217
4,California,Alameda,1,5,33,Good,06-001-0007,37.687526,-121.784217
5,California,Alameda,1,6,35,Good,06-001-0013,37.864767,-122.302741
6,California,Alameda,1,7,49,Good,06-001-0013,37.864767,-122.302741
7,California,Alameda,1,8,36,Good,06-001-0012,37.793624,-122.263376
8,California,Alameda,1,9,30,Good,06-001-0007,37.687526,-121.784217
9,California,Alameda,1,10,38,Good,06-001-0013,37.864767,-122.302741
10,California,Alameda,1,11,37,Good,06-001-0013,37.864767,-122.302741
11,California,Alameda,1,12,33,Good,06-001-0012,37.793624,-122.263376
12,California,Alameda,1,13,33,Good,06-001-0007,37.687526,-121.784217
13,California,Alameda,1,14,32,Good,06-001-2001,37.654456,-122.031547
14,California,Alameda,1,15,36,Good,06-001-0013,37.864767,-122.302741
15,California,Alameda,1,16,35,Good,06-001-2001,37.654456,-122.031547
16,California,Alameda,1,17,42,Good,06-001-0011,37.814781,-122.282347
17,California,Alameda,1,18,42,Good,06-001-0015,37.701222,-121.903019
18,California,Alameda,1,19,39,Good,06-001-0015,37.701222,-121.903019
19,California,Alameda,1,20,60,Moderate,06-001-0013,37.864767,-122.302741
20,California,Alameda,1,21,34,Good,06-001-0015,37.701222,-121.903019
21,California,Alameda,1,22,40,Good,06-001-0012,37.793624,-122.263376
22,California,Alameda,1,23,47,Good,06-001-0013,37.864767,-122.302741
23,California,Alameda,1,24,48,Good,06-001-0013,37.864767,-122.302741
24,California,Alameda,1,25,40,Good,06-001-0009,37.743065,-122.169935
25,California,Alameda,1,26,35,Good,06-001-0007,37.687526,-121.784217
26,California,Alameda,1,27,41,Good,06-001-0013,37.864767,-122.302741
27,California,Alameda,1,28,40,Good,06-001-0013,37.864767,-122.302741
28,California,Alameda,1,29,49,Good,06-001-0013,37.864767,-122.302741
29,California,Alameda,1,30,40,Good,06-001-0013,37.864767,-122.302741
30,California,Alameda,1,31,54,Moderate,06-001-0013,37.864767,-122.302741
31,California,Alameda,2,1,66,Moderate,06-001-0013,37.864767,-122.302741
32,California,Alameda,2,2,35,Good,06-001-0011,37.814781,-122.282347
33,California,Alameda,2,3,34,Good,06-001-2001,37.654456,-122.031547
34,California,Alameda,2,4,36,Good,06-001-0012,37.793624,-122.263376
35,California,Alameda,2,5,46,Good,06-001-0013,37.864767,-122.302741
36,California,Alameda,2,6,53,Moderate,06-001-0013,37.864767,-122.302741
37,California,Alameda,2,7,56,Moderate,06-001-0015,37.701222,-121.903019
38,California,Alameda,2,8,48,Good,06-001-0015,37.701222,-121.903019
39,California,Alameda,2,9,34,Good,06-001-0013,37.864767,-122.302741
40,California,Alameda,2,10,38,Good,06-001-0013,37.864767,-122.302741
41,California,Alameda,2,11,45,Good,06-001-0012,37.793624,-122.263376
42,California,Alameda,2,12,53,Moderate,06-001-0013,37.864767,-122.302741
43,California,Alameda,2,13,39,Good,06-001-0015,37.701222,-121.903019
44,California,Alameda,2,14,42,Good,06-001-0013,37.864767,-122.302741
45,California,Alameda,2,15,54,Moderate,06-001-0013,37.864767,-122.302741
46,California,Alameda,2,16,38,Good,06-001-0011,37.814781,-122.282347
47,California,Alameda,2,17,41,Good,06-001-0007,37.687526,-121.784217
48,California,Alameda,2,18,48,Good,06-001-0013,37.864767,-122.302741
49,California,Alameda,2,19,49,Good,06-001-0013,37.864767,-122.302741
50,California,Alameda,2,20,55,Moderate,06-001-0013,37.864767,-122.302741
51,California,Alameda,2,21,56,Moderate,06-001-0012,37.793624,-122.263376
52,California,Alameda,2,22,55,Moderate,06-001-0013,37.864767,-122.302741
53,California,Alameda,2,23,36,Good,06-001-0011,37.814781,-122.282347
54,California,Alameda,2,24,36,Good,06-001-0013,37.864767,-122.302741
55,California,Alameda,2,25,54,Moderate,06-001-0013,37.864767,-122.302741
56,California,Alameda,2,26,54,Moderate,06-001-0013,37.864767,-122.302741
57,California,Alameda,2,27,56,Moderate,06-001-0013,37.864767,-122.302741
58,California,Alameda,2,28,55,Moderate,06-001-0013,37.864767,-122.302741
59,California,Alameda,2,29,39,Good,06-001-2001,37.654456,-122.031547
60,California,Alameda,3,1,37,Good,06-001-2001,37.654456,-122.031547
61,California,Alameda,3,2,38,Good,06-001-2001,37.654456,-122.031547
62,California,Alameda,3,3,43,Good,06-001-0013,37.864767,-122.302741
63,California,Alameda,3,4,52,Moderate,06-001-0013,37.864767,-122.302741
64,California,Alameda,3,5,52,Moderate,06-001-0015,37.701222,-121.903019
65,California,Alameda,3,6,33,Good,06-001-2001,37.654456,-122.031547
66,California,Alameda,3,7,33,Good,06-001-0011,37.814781,-122.282347
